date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:39	14927/14927	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a4f-5c8df6689f121%22	https://demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-wishlist/assets/js/jquery.selectBox.min.js?ver=1.2.0	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-wishlist/assets/js/jquery.selectBox.min7359.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:41	174/174	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Dec%202021%2010:15:39%20GMT	http://demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min.js?ver=3.1.6	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min005e.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:41	102778/102778	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2010:15:39%20GMT	https://demo2.tokomoo.com/livre/homepage-livre-v14/?add-to-cart=4912	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/homepage-livre-v14/indexffc4.html	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:41	102772/102772	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2010:15:40%20GMT	https://demo2.tokomoo.com/livre/homepage-livre-v14/?add-to-cart=4905	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/homepage-livre-v14/index216e.html	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:41	102781/102781	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2010:15:41%20GMT	https://demo2.tokomoo.com/livre/homepage-livre-v14/?add-to-cart=4884	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/homepage-livre-v14/indexf277.html	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:41	21571/21571	---MCZ	200	added ('OK')	application/javascript	etag:W/%225443-5c8df653fef6e%22	https://demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min.js?ver=3.1.6	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min005e.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:41	24059/24059	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dfb-5c8df6689f121%22	https://demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-wishlist/assets/js/jquery.yith-wcwl.min.js?ver=3.0.25	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-wishlist/assets/js/jquery.yith-wcwl.minac5b.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:41	20787/20787	---MCZ	200	added ('OK')	application/javascript	etag:W/%225133-5c8df5c673c92%22	https://demo2.tokomoo.com/livre/wp-includes/js/jquery/ui/core.min.js?ver=1.12.1	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-includes/js/jquery/ui/core.min35d0.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:42	102780/102780	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2010:15:41%20GMT	https://demo2.tokomoo.com/livre/homepage-livre-v14/?add-to-cart=4883	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/homepage-livre-v14/index2f28.html	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:42	8663/8663	---MCZ	200	added ('OK')	application/javascript	etag:W/%2221d7-5c8df5c671d52%22	https://demo2.tokomoo.com/livre/wp-includes/js/jquery/ui/accordion.min.js?ver=1.12.1	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-includes/js/jquery/ui/accordion.min35d0.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
